학생ID,학생명,차시번호,차시명,문항번호,문항유형,성취영역,성취기준코드,정답여부,풀이시간(초),재시도횟수,오류유형,AI도움사용,실시일
S30302,강도민,2,국어 2차시,3,단답형,듣기말하기,국2-03,정답,101,0,,예,2026-07-04
S30302,강도민,2,국어 2차시,4,수행형,문법,국2-04,정답,50,0,,예,2026-07-04
S30302,강도민,2,국어 2차시,5,단답형,문학,국2-05,정답,45,0,,예,2026-07-04
S30302,강도민,3,국어 3차시,1,선택형,문학,국3-01,정답,76,0,,예,2026-07-11
S30302,강도민,3,국어 3차시,2,수행형,문법,국3-02,정답,66,1,,예,2026-07-11
S30302,강도민,3,국어 3차시,3,선택형,쓰기,국3-03,정답,63,0,,아니오,2026-07-11
S30302,강도민,3,국어 3차시,4,선택형,문법,국3-04,정답,67,0,,예,2026-07-11
S30302,강도민,3,국어 3차시,5,단답형,듣기말하기,국3-05,정답,51,0,,예,2026-07-11
S30302,강도민,4,국어 4차시,1,서술형,듣기말하기,국4-01,정답,37,1,,아니오,2026-07-18
S30302,강도민,4,국어 4차시,2,단답형,읽기,국4-02,정답,10,0,,아니오,2026-07-18
S30302,강도민,4,국어 4차시,3,선택형,읽기,국4-03,정답,50,1,,예,2026-07-18
S30302,강도민,4,국어 4차시,4,선택형,문학,국4-04,오답,44,1,답형식오류,아니오,2026-07-18
S30302,강도민,4,국어 4차시,5,수행형,문법,국4-05,오답,58,1,계산실수,아니오,2026-07-18
S30303,서준미,1,국어 1차시,1,수행형,듣기말하기,국1-01,정답,18,0,,예,2026-06-27
S30303,서준미,1,국어 1차시,2,단답형,문학,국1-02,오답,70,2,개념이해부족,예,2026-06-27
S30303,서준미,1,국어 1차시,3,수행형,듣기말하기,국1-03,정답,10,0,,아니오,2026-06-27
S30303,서준미,1,국어 1차시,4,서술형,문법,국1-04,정답,45,0,,아니오,2026-06-27
S30303,서준미,1,국어 1차시,5,선택형,쓰기,국1-05,오답,28,2,문제해석오류,예,2026-06-27
S30303,서준미,2,국어 2차시,1,수행형,쓰기,국2-01,정답,94,0,,예,2026-07-04
S30303,서준미,2,국어 2차시,2,선택형,듣기말하기,국2-02,정답,61,1,,아니오,2026-07-04
S30303,서준미,2,국어 2차시,3,서술형,문학,국2-03,오답,81,2,계산실수,아니오,2026-07-04
S30303,서준미,2,국어 2차시,4,단답형,읽기,국2-04,정답,73,0,,아니오,2026-07-04
S30303,서준미,2,국어 2차시,5,서술형,읽기,국2-05,정답,114,0,,예,2026-07-04
S30303,서준미,3,국어 3차시,1,서술형,문법,국3-01,정답,38,0,,예,2026-07-11
S30303,서준미,3,국어 3차시,2,선택형,듣기말하기,국3-02,정답,64,0,,아니오,2026-07-11
S30303,서준미,3,국어 3차시,3,서술형,문법,국3-03,정답,103,0,,예,2026-07-11
S30303,서준미,3,국어 3차시,4,선택형,문학,국3-04,정답,14,0,,아니오,2026-07-11
S30303,서준미,3,국어 3차시,5,수행형,문법,국3-05,오답,112,3,시간부족,아니오,2026-07-11
S30303,서준미,4,국어 4차시,1,선택형,쓰기,국4-01,오답,76,3,개념이해부족,아니오,2026-07-18
S30303,서준미,4,국어 4차시,2,선택형,쓰기,국4-02,정답,67,0,,아니오,2026-07-18
S30303,서준미,4,국어 4차시,3,단답형,문학,국4-03,오답,87,2,답형식오류,아니오,2026-07-18
S30303,서준미,4,국어 4차시,4,수행형,듣기말하기,국4-04,정답,25,0,,아니오,2026-07-18
S30303,서준미,4,국어 4차시,5,단답형,문법,국4-05,정답,45,0,,예,2026-07-18
S30304,전시준,1,국어 1차시,1,선택형,듣기말하기,국1-01,정답,74,1,,아니오,2026-06-27
S30304,전시준,1,국어 1차시,2,수행형,읽기,국1-02,정답,43,0,,아니오,2026-06-27
S30304,전시준,1,국어 1차시,3,단답형,듣기말하기,국1-03,정답,66,0,,예,2026-06-27
S30304,전시준,1,국어 1차시,4,선택형,문법,국1-04,오답,49,1,답형식오류,예,2026-06-27
S30304,전시준,1,국어 1차시,5,단답형,쓰기,국1-05,정답,72,0,,예,2026-06-27
S30304,전시준,2,국어 2차시,1,서술형,듣기말하기,국2-01,정답,64,0,,아니오,2026-07-04
S30304,전시준,2,국어 2차시,2,선택형,읽기,국2-02,정답,99,0,,예,2026-07-04
S30304,전시준,2,국어 2차시,3,서술형,쓰기,국2-03,정답,34,0,,아니오,2026-07-04
S30304,전시준,2,국어 2차시,4,단답형,문법,국2-04,정답,41,0,,예,2026-07-04
S30304,전시준,2,국어 2차시,5,선택형,듣기말하기,국2-05,오답,83,1,시간부족,예,2026-07-04
S30304,전시준,3,국어 3차시,1,단답형,읽기,국3-01,정답,20,1,,예,2026-07-11
S30304,전시준,3,국어 3차시,2,단답형,문법,국3-02,정답,46,0,,아니오,2026-07-11
S30304,전시준,3,국어 3차시,3,선택형,문법,국3-03,정답,62,0,,아니오,2026-07-11
S30304,전시준,3,국어 3차시,4,단답형,쓰기,국3-04,정답,68,0,,아니오,2026-07-11
S30304,전시준,3,국어 3차시,5,서술형,문학,국3-05,정답,57,0,,아니오,2026-07-11
S30304,전시준,4,국어 4차시,1,서술형,문학,국4-01,정답,105,0,,아니오,2026-07-18
S30304,전시준,4,국어 4차시,2,단답형,쓰기,국4-02,정답,29,0,,예,2026-07-18
S30304,전시준,4,국어 4차시,3,서술형,쓰기,국4-03,오답,117,2,공식적용오류,아니오,2026-07-18
S30304,전시준,4,국어 4차시,4,서술형,쓰기,국4-04,정답,35,0,,예,2026-07-18
S30304,전시준,4,국어 4차시,5,단답형,문법,국4-05,오답,35,2,답형식오류,아니오,2026-07-18
S30305,송연희,1,국어 1차시,1,단답형,문법,국1-01,정답,77,0,,아니오,2026-06-27
S30305,송연희,1,국어 1차시,2,선택형,쓰기,국1-02,오답,106,1,답형식오류,예,2026-06-27
S30305,송연희,1,국어 1차시,3,수행형,쓰기,국1-03,정답,135,0,,아니오,2026-06-27
S30305,송연희,1,국어 1차시,4,단답형,문법,국1-04,정답,128,0,,아니오,2026-06-27
S30305,송연희,1,국어 1차시,5,서술형,쓰기,국1-05,정답,75,0,,아니오,2026-06-27
S30305,송연희,2,국어 2차시,1,선택형,쓰기,국2-01,정답,62,1,,예,2026-07-04
S30305,송연희,2,국어 2차시,2,수행형,쓰기,국2-02,정답,58,0,,예,2026-07-04
S30305,송연희,2,국어 2차시,3,수행형,듣기말하기,국2-03,오답,45,3,문제해석오류,예,2026-07-04
S30305,송연희,2,국어 2차시,4,수행형,듣기말하기,국2-04,오답,98,2,문제해석오류,예,2026-07-04
S30305,송연희,2,국어 2차시,5,단답형,문법,국2-05,정답,50,0,,아니오,2026-07-04
S30305,송연희,3,국어 3차시,1,수행형,쓰기,국3-01,오답,75,2,답형식오류,아니오,2026-07-11
S30305,송연희,3,국어 3차시,2,선택형,쓰기,국3-02,정답,115,0,,아니오,2026-07-11
S30305,송연희,3,국어 3차시,3,단답형,문학,국3-03,정답,81,0,,예,2026-07-11
S30305,송연희,3,국어 3차시,4,선택형,문학,국3-04,오답,27,2,시간부족,아니오,2026-07-11
S30305,송연희,3,국어 3차시,5,수행형,읽기,국3-05,오답,120,1,문제해석오류,예,2026-07-11
S30305,송연희,4,국어 4차시,1,수행형,읽기,국4-01,오답,84,1,답형식오류,예,2026-07-18
S30305,송연희,4,국어 4차시,2,수행형,읽기,국4-02,오답,81,1,공식적용오류,예,2026-07-18
S30305,송연희,4,국어 4차시,3,단답형,문학,국4-03,정답,42,0,,예,2026-07-18
S30305,송연희,4,국어 4차시,4,선택형,읽기,국4-04,정답,25,1,,예,2026-07-18
S30305,송연희,4,국어 4차시,5,선택형,쓰기,국4-05,오답,43,3,개념이해부족,예,2026-07-18
S30306,강하은,1,국어 1차시,1,선택형,문학,국1-01,정답,83,0,,아니오,2026-06-27
S30306,강하은,1,국어 1차시,2,단답형,읽기,국1-02,정답,120,0,,예,2026-06-27
S30306,강하은,1,국어 1차시,3,수행형,문학,국1-03,정답,93,1,,아니오,2026-06-27
S30306,강하은,1,국어 1차시,4,단답형,문학,국1-04,정답,53,0,,아니오,2026-06-27
S30306,강하은,1,국어 1차시,5,수행형,문법,국1-05,정답,69,1,,아니오,2026-06-27
S30306,강하은,2,국어 2차시,1,수행형,문법,국2-01,정답,95,0,,아니오,2026-07-04
S30306,강하은,2,국어 2차시,2,서술형,문학,국2-02,오답,29,3,개념이해부족,아니오,2026-07-04
S30306,강하은,2,국어 2차시,3,수행형,듣기말하기,국2-03,오답,10,3,개념이해부족,예,2026-07-04
S30306,강하은,2,국어 2차시,4,서술형,듣기말하기,국2-04,정답,68,0,,아니오,2026-07-04
S30306,강하은,2,국어 2차시,5,수행형,듣기말하기,국2-05,정답,65,0,,예,2026-07-04
S30306,강하은,3,국어 3차시,1,서술형,읽기,국3-01,정답,53,0,,아니오,2026-07-11
S30306,강하은,3,국어 3차시,2,단답형,듣기말하기,국3-02,정답,100,0,,아니오,2026-07-11
S30306,강하은,3,국어 3차시,3,수행형,문법,국3-03,정답,41,0,,아니오,2026-07-11
S30306,강하은,3,국어 3차시,4,단답형,문학,국3-04,정답,62,0,,아니오,2026-07-11
S30306,강하은,3,국어 3차시,5,단답형,듣기말하기,국3-05,정답,113,0,,아니오,2026-07-11
S30306,강하은,4,국어 4차시,1,선택형,문법,국4-01,오답,71,2,공식적용오류,아니오,2026-07-18
S30306,강하은,4,국어 4차시,2,선택형,쓰기,국4-02,정답,60,1,,아니오,2026-07-18
S30306,강하은,4,국어 4차시,3,선택형,쓰기,국4-03,정답,88,0,,아니오,2026-07-18
S30306,강하은,4,국어 4차시,4,선택형,쓰기,국4-04,정답,92,1,,아니오,2026-07-18
S30306,강하은,4,국어 4차시,5,단답형,문학,국4-05,정답,27,0,,아니오,2026-07-18
S30307,김성희,1,국어 1차시,1,선택형,듣기말하기,국1-01,정답,76,0,,아니오,2026-06-27
S30307,김성희,1,국어 1차시,2,단답형,문법,국1-02,정답,23,0,,아니오,2026-06-27
S30307,김성희,1,국어 1차시,3,선택형,읽기,국1-03,정답,102,0,,아니오,2026-06-27
S30307,김성희,1,국어 1차시,4,서술형,듣기말하기,국1-04,정답,38,0,,아니오,2026-06-27
S30307,김성희,1,국어 1차시,5,수행형,문학,국1-05,정답,31,0,,예,2026-06-27
S30307,김성희,2,국어 2차시,1,선택형,듣기말하기,국2-01,정답,97,0,,아니오,2026-07-04
S30307,김성희,2,국어 2차시,2,서술형,쓰기,국2-02,정답,76,0,,아니오,2026-07-04
S30307,김성희,2,국어 2차시,3,단답형,문학,국2-03,오답,52,2,답형식오류,아니오,2026-07-04
S30307,김성희,2,국어 2차시,4,선택형,듣기말하기,국2-04,정답,67,0,,아니오,2026-07-04
S30307,김성희,2,국어 2차시,5,서술형,듣기말하기,국2-05,정답,46,0,,아니오,2026-07-04
S30307,김성희,3,국어 3차시,1,수행형,듣기말하기,국3-01,정답,73,0,,아니오,2026-07-11
S30307,김성희,3,국어 3차시,2,단답형,문법,국3-02,정답,103,1,,아니오,2026-07-11
S30307,김성희,3,국어 3차시,3,선택형,읽기,국3-03,오답,96,1,공식적용오류,예,2026-07-11
S30307,김성희,3,국어 3차시,4,단답형,듣기말하기,국3-04,정답,10,0,,예,2026-07-11
S30307,김성희,3,국어 3차시,5,단답형,듣기말하기,국3-05,정답,80,0,,아니오,2026-07-11
S30307,김성희,4,국어 4차시,1,수행형,듣기말하기,국4-01,정답,40,1,,아니오,2026-07-18
S30307,김성희,4,국어 4차시,2,서술형,문법,국4-02,오답,56,2,계산실수,아니오,2026-07-18
S30307,김성희,4,국어 4차시,3,단답형,읽기,국4-03,정답,13,0,,아니오,2026-07-18
S30307,김성희,4,국어 4차시,4,서술형,쓰기,국4-04,정답,10,0,,아니오,2026-07-18
S30307,김성희,4,국어 4차시,5,서술형,문학,국4-05,정답,28,0,,아니오,2026-07-18
S30308,안하연,1,국어 1차시,1,단답형,읽기,국1-01,정답,88,0,,아니오,2026-06-27
S30308,안하연,1,국어 1차시,2,단답형,문학,국1-02,정답,56,0,,예,2026-06-27
S30308,안하연,1,국어 1차시,3,단답형,듣기말하기,국1-03,정답,80,0,,예,2026-06-27
S30308,안하연,1,국어 1차시,4,수행형,쓰기,국1-04,정답,10,0,,아니오,2026-06-27
S30308,안하연,1,국어 1차시,5,단답형,읽기,국1-05,정답,63,0,,예,2026-06-27
S30308,안하연,2,국어 2차시,1,수행형,쓰기,국2-01,정답,62,0,,아니오,2026-07-04
S30308,안하연,2,국어 2차시,2,수행형,쓰기,국2-02,정답,10,1,,예,2026-07-04
S30308,안하연,2,국어 2차시,3,서술형,문학,국2-03,정답,46,0,,아니오,2026-07-04
S30308,안하연,2,국어 2차시,4,선택형,듣기말하기,국2-04,정답,82,0,,아니오,2026-07-04
S30308,안하연,2,국어 2차시,5,단답형,문법,국2-05,정답,47,0,,예,2026-07-04
S30308,안하연,3,국어 3차시,1,단답형,읽기,국3-01,오답,27,2,답형식오류,예,2026-07-11
S30308,안하연,3,국어 3차시,2,단답형,문법,국3-02,정답,85,0,,아니오,2026-07-11
S30308,안하연,3,국어 3차시,3,서술형,문법,국3-03,정답,60,0,,아니오,2026-07-11
S30308,안하연,3,국어 3차시,4,수행형,문학,국3-04,정답,75,0,,예,2026-07-11
S30308,안하연,3,국어 3차시,5,단답형,듣기말하기,국3-05,정답,87,0,,아니오,2026-07-11
S30308,안하연,4,국어 4차시,1,단답형,문학,국4-01,정답,91,0,,아니오,2026-07-18
S30308,안하연,4,국어 4차시,2,서술형,읽기,국4-02,정답,63,1,,아니오,2026-07-18
S30308,안하연,4,국어 4차시,3,단답형,문학,국4-03,정답,10,0,,예,2026-07-18
S30308,안하연,4,국어 4차시,4,단답형,문학,국4-04,정답,18,0,,예,2026-07-18
S30308,안하연,4,국어 4차시,5,수행형,문법,국4-05,정답,56,0,,아니오,2026-07-18
S30309,안지경,1,국어 1차시,1,단답형,듣기말하기,국1-01,오답,42,1,답형식오류,아니오,2026-06-27
S30309,안지경,1,국어 1차시,2,수행형,쓰기,국1-02,오답,58,1,계산실수,예,2026-06-27
S30309,안지경,1,국어 1차시,3,선택형,문학,국1-03,오답,102,3,답형식오류,아니오,2026-06-27
S30309,안지경,1,국어 1차시,4,서술형,문학,국1-04,정답,53,0,,아니오,2026-06-27
S30309,안지경,1,국어 1차시,5,수행형,쓰기,국1-05,오답,53,2,문제해석오류,예,2026-06-27
S30309,안지경,2,국어 2차시,1,단답형,문학,국2-01,정답,24,0,,아니오,2026-07-04
S30309,안지경,2,국어 2차시,2,단답형,읽기,국2-02,정답,54,1,,아니오,2026-07-04
S30309,안지경,2,국어 2차시,3,단답형,문학,국2-03,오답,65,3,공식적용오류,아니오,2026-07-04
S30309,안지경,2,국어 2차시,4,서술형,문학,국2-04,정답,38,0,,아니오,2026-07-04
S30309,안지경,2,국어 2차시,5,수행형,쓰기,국2-05,정답,26,0,,아니오,2026-07-04
S30309,안지경,3,국어 3차시,1,단답형,읽기,국3-01,오답,66,3,시간부족,아니오,2026-07-11
S30309,안지경,3,국어 3차시,2,수행형,읽기,국3-02,정답,62,0,,아니오,2026-07-11
S30309,안지경,3,국어 3차시,3,단답형,문법,국3-03,정답,124,1,,아니오,2026-07-11
S30309,안지경,3,국어 3차시,4,서술형,듣기말하기,국3-04,정답,63,0,,아니오,2026-07-11
S30309,안지경,3,국어 3차시,5,선택형,듣기말하기,국3-05,오답,79,3,문제해석오류,아니오,2026-07-11
S30309,안지경,4,국어 4차시,1,선택형,문법,국4-01,정답,76,0,,아니오,2026-07-18
S30309,안지경,4,국어 4차시,2,선택형,문법,국4-02,정답,89,0,,아니오,2026-07-18
S30309,안지경,4,국어 4차시,3,선택형,읽기,국4-03,정답,77,0,,아니오,2026-07-18
S30309,안지경,4,국어 4차시,4,서술형,문법,국4-04,정답,29,0,,아니오,2026-07-18
S30309,안지경,4,국어 4차시,5,선택형,문법,국4-05,정답,97,0,,아니오,2026-07-18
S30310,허혜율,1,국어 1차시,1,선택형,읽기,국1-01,정답,34,0,,아니오,2026-06-27
S30310,허혜율,1,국어 1차시,2,선택형,쓰기,국1-02,오답,56,1,문제해석오류,예,2026-06-27
S30310,허혜율,1,국어 1차시,3,선택형,쓰기,국1-03,정답,67,0,,예,2026-06-27
S30310,허혜율,1,국어 1차시,4,수행형,쓰기,국1-04,오답,26,2,문제해석오류,예,2026-06-27
S30310,허혜율,1,국어 1차시,5,단답형,듣기말하기,국1-05,오답,49,3,문제해석오류,아니오,2026-06-27
S30310,허혜율,2,국어 2차시,1,서술형,쓰기,국2-01,정답,45,0,,아니오,2026-07-04
S30310,허혜율,2,국어 2차시,2,단답형,읽기,국2-02,오답,11,2,개념이해부족,아니오,2026-07-04
S30310,허혜율,2,국어 2차시,3,서술형,읽기,국2-03,오답,47,2,답형식오류,예,2026-07-04
S30310,허혜율,2,국어 2차시,4,수행형,읽기,국2-04,정답,77,1,,아니오,2026-07-04
S30310,허혜율,2,국어 2차시,5,서술형,쓰기,국2-05,오답,20,2,문제해석오류,아니오,2026-07-04
S30310,허혜율,3,국어 3차시,1,단답형,읽기,국3-01,정답,73,0,,예,2026-07-11
S30310,허혜율,3,국어 3차시,2,서술형,쓰기,국3-02,정답,54,0,,아니오,2026-07-11
S30310,허혜율,3,국어 3차시,3,선택형,듣기말하기,국3-03,정답,23,0,,아니오,2026-07-11
S30310,허혜율,3,국어 3차시,4,선택형,문학,국3-04,정답,33,0,,아니오,2026-07-11
S30310,허혜율,3,국어 3차시,5,선택형,읽기,국3-05,오답,54,2,개념이해부족,아니오,2026-07-11
S30310,허혜율,4,국어 4차시,1,수행형,읽기,국4-01,오답,103,1,답형식오류,예,2026-07-18
S30310,허혜율,4,국어 4차시,2,단답형,쓰기,국4-02,오답,53,3,개념이해부족,아니오,2026-07-18
S30310,허혜율,4,국어 4차시,3,수행형,듣기말하기,국4-03,오답,104,2,개념이해부족,아니오,2026-07-18
S30310,허혜율,4,국어 4차시,4,선택형,읽기,국4-04,정답,44,0,,아니오,2026-07-18
S30310,허혜율,4,국어 4차시,5,수행형,듣기말하기,국4-05,정답,14,0,,예,2026-07-18
S30311,강하수,1,국어 1차시,1,단답형,쓰기,국1-01,정답,62,0,,아니오,2026-06-27
S30311,강하수,1,국어 1차시,2,서술형,문법,국1-02,정답,64,0,,아니오,2026-06-27
S30311,강하수,1,국어 1차시,3,서술형,쓰기,국1-03,정답,58,1,,예,2026-06-27
S30311,강하수,1,국어 1차시,4,선택형,읽기,국1-04,정답,61,0,,아니오,2026-06-27
S30311,강하수,1,국어 1차시,5,단답형,읽기,국1-05,정답,117,0,,아니오,2026-06-27
S30311,강하수,2,국어 2차시,1,단답형,쓰기,국2-01,정답,56,0,,예,2026-07-04
S30311,강하수,2,국어 2차시,2,단답형,듣기말하기,국2-02,정답,24,0,,아니오,2026-07-04
S30311,강하수,2,국어 2차시,3,단답형,듣기말하기,국2-03,정답,36,0,,아니오,2026-07-04
S30311,강하수,2,국어 2차시,4,단답형,문학,국2-04,오답,58,3,공식적용오류,예,2026-07-04
S30311,강하수,2,국어 2차시,5,서술형,문법,국2-05,오답,66,1,개념이해부족,예,2026-07-04
S30311,강하수,3,국어 3차시,1,선택형,쓰기,국3-01,오답,71,3,계산실수,예,2026-07-11
S30311,강하수,3,국어 3차시,2,수행형,쓰기,국3-02,정답,98,0,,예,2026-07-11
S30311,강하수,3,국어 3차시,3,선택형,듣기말하기,국3-03,정답,74,0,,아니오,2026-07-11
S30311,강하수,3,국어 3차시,4,수행형,듣기말하기,국3-04,정답,58,0,,아니오,2026-07-11
S30311,강하수,3,국어 3차시,5,서술형,문법,국3-05,정답,10,0,,아니오,2026-07-11
S30311,강하수,4,국어 4차시,1,수행형,듣기말하기,국4-01,정답,87,0,,아니오,2026-07-18
S30311,강하수,4,국어 4차시,2,선택형,읽기,국4-02,정답,87,1,,예,2026-07-18
S30311,강하수,4,국어 4차시,3,수행형,읽기,국4-03,정답,78,1,,아니오,2026-07-18
S30311,강하수,4,국어 4차시,4,단답형,읽기,국4-04,오답,32,2,답형식오류,아니오,2026-07-18
S30311,강하수,4,국어 4차시,5,서술형,읽기,국4-05,오답,39,2,답형식오류,아니오,2026-07-18
S30312,유선민,1,국어 1차시,1,단답형,문법,국1-01,오답,27,1,문제해석오류,예,2026-06-27
S30312,유선민,1,국어 1차시,2,선택형,문법,국1-02,정답,118,0,,예,2026-06-27
S30312,유선민,1,국어 1차시,3,선택형,문학,국1-03,정답,59,0,,예,2026-06-27
S30312,유선민,1,국어 1차시,4,단답형,듣기말하기,국1-04,정답,56,0,,아니오,2026-06-27
S30312,유선민,1,국어 1차시,5,단답형,문법,국1-05,정답,81,0,,예,2026-06-27
S30312,유선민,2,국어 2차시,1,서술형,읽기,국2-01,정답,29,0,,예,2026-07-04
S30312,유선민,2,국어 2차시,2,서술형,문학,국2-02,정답,103,0,,예,2026-07-04
S30312,유선민,2,국어 2차시,3,서술형,읽기,국2-03,정답,67,0,,예,2026-07-04
S30312,유선민,2,국어 2차시,4,단답형,듣기말하기,국2-04,정답,126,0,,예,2026-07-04
S30312,유선민,2,국어 2차시,5,선택형,듣기말하기,국2-05,정답,46,0,,아니오,2026-07-04
S30312,유선민,3,국어 3차시,1,선택형,문법,국3-01,오답,129,3,개념이해부족,아니오,2026-07-11
S30312,유선민,3,국어 3차시,2,수행형,듣기말하기,국3-02,정답,63,0,,예,2026-07-11
S30312,유선민,3,국어 3차시,3,서술형,읽기,국3-03,정답,45,1,,아니오,2026-07-11
S30312,유선민,3,국어 3차시,4,수행형,문법,국3-04,정답,72,0,,예,2026-07-11
S30312,유선민,3,국어 3차시,5,단답형,듣기말하기,국3-05,오답,66,2,계산실수,예,2026-07-11
S30312,유선민,4,국어 4차시,1,수행형,듣기말하기,국4-01,정답,52,0,,예,2026-07-18
S30312,유선민,4,국어 4차시,2,선택형,문학,국4-02,정답,76,0,,아니오,2026-07-18
S30312,유선민,4,국어 4차시,3,서술형,문학,국4-03,정답,34,0,,예,2026-07-18
S30312,유선민,4,국어 4차시,4,선택형,듣기말하기,국4-04,정답,67,0,,예,2026-07-18
S30312,유선민,4,국어 4차시,5,선택형,문법,국4-05,정답,101,1,,아니오,2026-07-18
S30313,신하윤,1,국어 1차시,1,선택형,쓰기,국1-01,오답,118,1,문제해석오류,예,2026-06-27
S30313,신하윤,1,국어 1차시,2,서술형,문법,국1-02,오답,69,1,답형식오류,아니오,2026-06-27
S30313,신하윤,1,국어 1차시,3,선택형,문학,국1-03,오답,76,2,공식적용오류,예,2026-06-27
S30313,신하윤,1,국어 1차시,4,단답형,쓰기,국1-04,정답,80,0,,예,2026-06-27
S30313,신하윤,1,국어 1차시,5,수행형,쓰기,국1-05,정답,115,0,,예,2026-06-27
S30313,신하윤,2,국어 2차시,1,서술형,읽기,국2-01,정답,73,0,,아니오,2026-07-04
S30313,신하윤,2,국어 2차시,2,수행형,쓰기,국2-02,오답,81,2,공식적용오류,예,2026-07-04
S30313,신하윤,2,국어 2차시,3,서술형,문학,국2-03,오답,87,3,공식적용오류,아니오,2026-07-04
S30313,신하윤,2,국어 2차시,4,선택형,문학,국2-04,정답,71,0,,예,2026-07-04
S30313,신하윤,2,국어 2차시,5,단답형,듣기말하기,국2-05,정답,82,1,,예,2026-07-04
S30313,신하윤,3,국어 3차시,1,수행형,읽기,국3-01,오답,67,2,공식적용오류,아니오,2026-07-11
S30313,신하윤,3,국어 3차시,2,서술형,쓰기,국3-02,정답,41,0,,아니오,2026-07-11
S30313,신하윤,3,국어 3차시,3,수행형,듣기말하기,국3-03,정답,120,0,,아니오,2026-07-11
S30313,신하윤,3,국어 3차시,4,수행형,쓰기,국3-04,오답,123,3,개념이해부족,예,2026-07-11
S30313,신하윤,3,국어 3차시,5,수행형,듣기말하기,국3-05,정답,10,0,,예,2026-07-11
S30313,신하윤,4,국어 4차시,1,수행형,듣기말하기,국4-01,오답,17,1,공식적용오류,예,2026-07-18
S30313,신하윤,4,국어 4차시,2,단답형,듣기말하기,국4-02,정답,109,0,,아니오,2026-07-18
S30313,신하윤,4,국어 4차시,3,수행형,문학,국4-03,정답,70,1,,예,2026-07-18
S30313,신하윤,4,국어 4차시,4,수행형,문법,국4-04,오답,100,1,공식적용오류,예,2026-07-18
S30313,신하윤,4,국어 4차시,5,수행형,문학,국4-05,정답,56,0,,아니오,2026-07-18
S30314,장진지,1,국어 1차시,1,선택형,듣기말하기,국1-01,정답,40,0,,예,2026-06-27
S30314,장진지,1,국어 1차시,2,서술형,문법,국1-02,정답,57,1,,예,2026-06-27
S30314,장진지,1,국어 1차시,3,선택형,읽기,국1-03,정답,82,0,,예,2026-06-27
S30314,장진지,1,국어 1차시,4,선택형,문학,국1-04,정답,28,0,,예,2026-06-27
