활동명,활동일,모둠번호,학생ID,학생명,역할,발화수,기여도(1-5),동료평가(1-5),산출물완성도(1-5),모둠역할수행도(1-5)
토론활동,2026-07-04,2,S30303,서준미,발표이,18,1.5,1.6,3.3,1.8
토론활동,2026-07-04,2,S30320,조선우,발표이,25,4.8,4.4,3.8,4.6
토론활동,2026-07-04,2,S30319,남유원,이끔이,24,2.4,2.9,3.3,2.5
토론활동,2026-07-04,2,S30305,송연희,자료조사,28,4.6,4.8,3.3,3.9
토론활동,2026-07-04,3,S30324,배서경,이끔이,36,4,4,2.5,4
토론활동,2026-07-04,3,S30316,서시은,점검이,16,2.6,2.6,2.1,2.7
토론활동,2026-07-04,3,S30313,신하윤,발표이,30,4.1,4.1,3.7,3.5
토론활동,2026-07-04,3,S30317,손은호,기록이,32,4.9,5,3.4,5
토론활동,2026-07-04,4,S30323,오진은,발표이,15,2,2.1,3.7,1.9
토론활동,2026-07-04,4,S30304,전시준,이끔이,24,3,3.6,3.3,3.4
토론활동,2026-07-04,4,S30322,허주현,발표이,20,3,3.4,4.8,2.6
토론활동,2026-07-04,4,S30325,양혁율,자료조사,25,4.8,5,3.8,4.5
토론활동,2026-07-04,5,S30310,허혜율,발표이,33,5,4.8,3.7,4.6
토론활동,2026-07-04,5,S30321,유선희,기록이,27,3.8,3.5,2.6,3.7
토론활동,2026-07-04,5,S30309,안지경,점검이,34,3.4,3.2,3.4,3
토론활동,2026-07-04,5,S30306,강하은,이끔이,19,1.5,1.6,3.3,1.5
토론활동,2026-07-04,6,S30312,유선민,점검이,24,2.5,2.7,3.7,2.7
토론활동,2026-07-04,6,S30308,안하연,이끔이,31,4.6,4.6,3.2,5
토론활동,2026-07-04,6,S30326,유진민,기록이,19,1,1,3.6,1.7
토론활동,2026-07-04,6,S30307,김성희,발표이,22,4.9,5,3.2,4.7
토론활동,2026-07-04,7,S30315,박시호,점검이,21,3.4,3.1,3.8,3.8
토론활동,2026-07-04,7,S30314,장진지,점검이,40,4.1,4.4,3.2,3.6
창작 프로젝트,2026-07-18,1,S30307,김성희,이끔이,22,5,4.8,4.1,5
창작 프로젝트,2026-07-18,1,S30305,송연희,발표이,32,4.9,4.6,2.4,5
창작 프로젝트,2026-07-18,1,S30310,허혜율,발표이,41,5,5,3,4.5
창작 프로젝트,2026-07-18,1,S30315,박시호,기록이,26,3.9,3.7,3.5,4.1
창작 프로젝트,2026-07-18,2,S30323,오진은,발표이,21,1.4,1.6,2.9,1
창작 프로젝트,2026-07-18,2,S30313,신하윤,이끔이,36,3.3,3.2,3.6,3.2
창작 프로젝트,2026-07-18,2,S30301,신도미,이끔이,29,3.5,3.4,3.7,3.8
창작 프로젝트,2026-07-18,2,S30302,강도민,점검이,25,3.4,3.5,3.5,3.1
창작 프로젝트,2026-07-18,3,S30312,유선민,발표이,24,3,2.8,3.8,2.7
창작 프로젝트,2026-07-18,3,S30311,강하수,자료조사,24,2.3,2.3,3.4,2.1
창작 프로젝트,2026-07-18,3,S30319,남유원,점검이,25,3.7,3.5,3.8,3.8
창작 프로젝트,2026-07-18,3,S30314,장진지,기록이,31,4.8,4.7,3.6,4.6
창작 프로젝트,2026-07-18,4,S30325,양혁율,기록이,28,3.7,3.5,2.8,3.3
창작 프로젝트,2026-07-18,4,S30308,안하연,자료조사,25,4.9,5,3.8,4.7
창작 프로젝트,2026-07-18,4,S30320,조선우,이끔이,26,5,4.7,4.6,5
창작 프로젝트,2026-07-18,4,S30303,서준미,자료조사,24,2.7,2.1,2.8,2.7
창작 프로젝트,2026-07-18,5,S30322,허주현,기록이,19,3,3,3.5,2.8
창작 프로젝트,2026-07-18,5,S30318,오진율,자료조사,38,5,5,2.9,5
창작 프로젝트,2026-07-18,5,S30309,안지경,자료조사,26,3.7,3.6,2.4,3.5
창작 프로젝트,2026-07-18,5,S30306,강하은,점검이,27,2.6,2.7,3.5,2
창작 프로젝트,2026-07-18,6,S30321,유선희,자료조사,30,5,4.9,2.9,5
창작 프로젝트,2026-07-18,6,S30316,서시은,기록이,23,2.5,2.8,5,3.1
창작 프로젝트,2026-07-18,6,S30326,유진민,발표이,10,1,1.4,2.8,1
창작 프로젝트,2026-07-18,6,S30304,전시준,자료조사,26,2.9,3,4.2,2.9
창작 프로젝트,2026-07-18,7,S30317,손은호,기록이,21,4.5,4.2,3.2,4.2
창작 프로젝트,2026-07-18,7,S30324,배서경,자료조사,29,5,5,3.3,5
