날짜,학생ID,학생명,과목,AI도구,활용목적,프롬프트유형,대화턴수,소요(분),피드백수용여부,결과반영도(1-5),교사검토여부,사용맥락
2026-05-28,S30301,신도미,과학,지능형튜터링시스템,오답분석,예시요청,2,3,수용,2,검토중,복습
2026-05-28,S30302,강도민,과학,이미지생성AI,번역,단답형,7,17,수용,3,검토완료,과제수행
2026-05-28,S30305,송연희,과학,이미지생성AI,피드백요청,열린질문,6,12,수용,2.6,검토중,수업중
2026-05-28,S30306,강하은,과학,음성인식평가도구,피드백요청,예시요청,6,13,수용,3.3,검토중,복습
2026-05-28,S30317,손은호,과학,이미지생성AI,문제풀이지원,예시요청,3,8,부분수용,2.6,검토완료,수업중
2026-05-28,S30318,오진율,과학,지능형튜터링시스템,아이디어생성,단답형,4,8,수용,4.7,검토중,수업중
2026-05-28,S30322,허주현,과학,이미지생성AI,개념질문,오류교정요청,1,1,수용,2.7,검토완료,예습
2026-05-28,S30324,배서경,과학,학습분석대시보드,문제풀이지원,예시요청,1,4,수용,3.3,검토완료,수업중
2026-05-28,S30326,유진민,과학,지능형튜터링시스템,문제풀이지원,단답형,8,17,수용,2.8,검토완료,과제수행
2026-05-29,S30301,신도미,과학,음성인식평가도구,문제풀이지원,오류교정요청,7,12,수용,3.9,검토완료,수업중
2026-05-29,S30305,송연희,과학,챗봇형AI,코드리뷰,예시요청,5,8,부분수용,5,검토중,과제수행
2026-05-29,S30307,김성희,과학,지능형튜터링시스템,아이디어생성,단계적추론요청,2,3,수용,3.1,미검토,예습
2026-05-29,S30323,오진은,과학,코드보조도구,피드백요청,단계적추론요청,8,17,부분수용,3.8,미검토,수업중
2026-05-30,S30301,신도미,과학,이미지생성AI,개념질문,열린질문,6,13,수용,3.8,미검토,자기주도탐구
2026-05-30,S30305,송연희,과학,학습분석대시보드,코드리뷰,역할부여형,3,8,수용,3.8,검토완료,수업중
2026-05-30,S30308,안하연,과학,지능형튜터링시스템,개념질문,단답형,1,3,수용,2.6,검토중,예습
2026-05-30,S30313,신하윤,과학,학습분석대시보드,아이디어생성,단답형,8,18,수용,3.9,미검토,과제수행
2026-05-31,S30304,전시준,과학,코드보조도구,문제풀이지원,예시요청,3,7,수용,2.4,검토완료,예습
2026-05-31,S30306,강하은,과학,음성인식평가도구,피드백요청,단계적추론요청,4,10,수용,3.4,검토중,예습
2026-05-31,S30307,김성희,과학,이미지생성AI,문제풀이지원,단답형,4,11,수용,3.5,검토중,예습
2026-05-31,S30307,김성희,과학,음성인식평가도구,자료요약,열린질문,2,4,수용,2.7,검토중,과제수행
2026-05-31,S30308,안하연,과학,이미지생성AI,오답분석,열린질문,7,15,수용,3.6,미검토,복습
2026-05-31,S30312,유선민,과학,코드보조도구,코드리뷰,오류교정요청,2,3,수용,3.9,미검토,자기주도탐구
2026-05-31,S30316,서시은,과학,코드보조도구,문제풀이지원,단계적추론요청,5,9,수용,3.6,검토완료,자기주도탐구
2026-05-31,S30318,오진율,과학,코드보조도구,자료요약,오류교정요청,3,4,수용,4.1,검토중,수업중
2026-06-01,S30303,서준미,과학,지능형튜터링시스템,문제풀이지원,단답형,4,9,부분수용,2.2,검토완료,수업중
2026-06-01,S30308,안하연,과학,챗봇형AI,자료요약,예시요청,7,13,수용,2.2,검토완료,자기주도탐구
2026-06-01,S30310,허혜율,과학,이미지생성AI,오답분석,열린질문,2,7,수용,2.2,검토중,자기주도탐구
2026-06-01,S30312,유선민,과학,코드보조도구,아이디어생성,예시요청,8,13,수용,2.5,검토중,수업중
2026-06-01,S30320,조선우,과학,이미지생성AI,오답분석,예시요청,7,13,수용,3.9,미검토,복습
2026-06-02,S30307,김성희,과학,지능형튜터링시스템,개념질문,열린질문,8,18,수용,1.7,검토완료,수업중
2026-06-02,S30314,장진지,과학,챗봇형AI,아이디어생성,역할부여형,1,2,부분수용,1.9,미검토,예습
2026-06-02,S30320,조선우,과학,지능형튜터링시스템,오답분석,열린질문,8,17,부분수용,2.7,검토완료,복습
2026-06-02,S30324,배서경,과학,이미지생성AI,피드백요청,오류교정요청,1,1,수용,3.1,검토완료,예습
2026-06-03,S30302,강도민,과학,챗봇형AI,문제풀이지원,예시요청,8,14,수용,2.6,검토완료,자기주도탐구
2026-06-03,S30303,서준미,과학,챗봇형AI,오답분석,예시요청,5,12,부분수용,2.5,검토완료,복습
2026-06-03,S30308,안하연,과학,학습분석대시보드,아이디어생성,오류교정요청,1,1,수용,2.5,미검토,수업중
2026-06-03,S30311,강하수,과학,음성인식평가도구,자료요약,열린질문,6,9,부분수용,2.7,검토중,과제수행
2026-06-03,S30313,신하윤,과학,이미지생성AI,피드백요청,단답형,5,8,수용,4.2,검토완료,수업중
2026-06-03,S30317,손은호,과학,지능형튜터링시스템,아이디어생성,단답형,3,6,수용,1.1,검토완료,과제수행
2026-06-03,S30324,배서경,과학,학습분석대시보드,자료요약,열린질문,3,6,수용,3.4,검토중,수업중
2026-06-04,S30314,장진지,과학,학습분석대시보드,자료요약,오류교정요청,8,17,수용,4.1,미검토,복습
2026-06-05,S30301,신도미,과학,챗봇형AI,자료요약,단답형,6,10,부분수용,3.3,검토완료,예습
2026-06-05,S30303,서준미,과학,음성인식평가도구,개념질문,열린질문,8,20,수용,3.4,검토중,예습
2026-06-05,S30311,강하수,과학,코드보조도구,오답분석,열린질문,4,8,수용,2.7,검토완료,과제수행
2026-06-05,S30312,유선민,과학,코드보조도구,피드백요청,단답형,1,1,부분수용,2.8,미검토,수업중
2026-06-05,S30313,신하윤,과학,학습분석대시보드,오답분석,역할부여형,3,5,수용,4.6,검토완료,과제수행
2026-06-05,S30323,오진은,과학,학습분석대시보드,문제풀이지원,예시요청,1,1,부분수용,2.6,검토완료,자기주도탐구
2026-06-06,S30301,신도미,과학,챗봇형AI,문제풀이지원,오류교정요청,8,15,수용,2.6,미검토,복습
2026-06-06,S30302,강도민,과학,학습분석대시보드,오답분석,오류교정요청,5,9,수용,2.8,검토중,수업중
2026-06-06,S30307,김성희,과학,음성인식평가도구,코드리뷰,예시요청,2,2,수용,3.5,검토중,수업중
2026-06-06,S30309,안지경,과학,지능형튜터링시스템,개념질문,단답형,2,3,수용,1.4,검토중,복습
2026-06-07,S30301,신도미,과학,챗봇형AI,코드리뷰,오류교정요청,3,6,부분수용,2.8,검토중,수업중
2026-06-07,S30316,서시은,과학,학습분석대시보드,오답분석,오류교정요청,2,1,수용,3.4,검토완료,예습
2026-06-07,S30322,허주현,과학,이미지생성AI,문제풀이지원,단계적추론요청,2,7,부분수용,3.1,검토중,과제수행
2026-06-07,S30325,양혁율,과학,학습분석대시보드,오답분석,열린질문,2,5,수용,3,미검토,예습
2026-06-08,S30305,송연희,과학,지능형튜터링시스템,자료요약,단답형,7,13,수용,3.6,검토완료,과제수행
2026-06-08,S30312,유선민,과학,음성인식평가도구,아이디어생성,역할부여형,1,1,수용,4.9,검토중,복습
2026-06-08,S30315,박시호,과학,학습분석대시보드,문제풀이지원,예시요청,3,3,수용,3.5,검토중,수업중
2026-06-08,S30316,서시은,과학,학습분석대시보드,문제풀이지원,예시요청,5,9,수용,2.6,미검토,과제수행
2026-06-08,S30316,서시은,과학,챗봇형AI,문제풀이지원,역할부여형,4,5,수용,4.2,검토완료,자기주도탐구
2026-06-08,S30320,조선우,과학,지능형튜터링시스템,오답분석,오류교정요청,1,2,수용,1.9,검토완료,과제수행
2026-06-08,S30321,유선희,과학,이미지생성AI,코드리뷰,역할부여형,5,8,수용,3.6,검토완료,수업중
2026-06-09,S30313,신하윤,과학,지능형튜터링시스템,피드백요청,오류교정요청,7,11,수용,3,검토완료,복습
2026-06-09,S30316,서시은,과학,코드보조도구,오답분석,오류교정요청,2,5,수용,2.6,검토완료,복습
2026-06-09,S30322,허주현,과학,학습분석대시보드,피드백요청,단계적추론요청,4,6,부분수용,4.4,검토중,예습
2026-06-09,S30326,유진민,과학,코드보조도구,문제풀이지원,열린질문,5,9,수용,2.9,검토중,예습
2026-06-10,S30301,신도미,과학,음성인식평가도구,아이디어생성,예시요청,6,13,부분수용,3.5,검토중,자기주도탐구
2026-06-10,S30302,강도민,과학,지능형튜터링시스템,피드백요청,오류교정요청,3,3,수용,2.4,미검토,자기주도탐구
2026-06-10,S30303,서준미,과학,학습분석대시보드,번역,역할부여형,8,15,수용,1.9,검토중,과제수행
2026-06-10,S30308,안하연,과학,이미지생성AI,오답분석,예시요청,4,6,부분수용,2.9,미검토,복습
2026-06-10,S30310,허혜율,과학,코드보조도구,오답분석,열린질문,4,9,수용,3.7,미검토,수업중
2026-06-10,S30314,장진지,과학,이미지생성AI,피드백요청,역할부여형,6,10,수용,3.2,미검토,복습
2026-06-10,S30315,박시호,과학,학습분석대시보드,오답분석,역할부여형,5,9,수용,3.3,미검토,예습
2026-06-10,S30317,손은호,과학,지능형튜터링시스템,문제풀이지원,단계적추론요청,1,2,수용,3.1,검토중,수업중
2026-06-10,S30320,조선우,과학,챗봇형AI,코드리뷰,단답형,5,10,부분수용,3.1,검토중,예습
2026-06-10,S30321,유선희,과학,챗봇형AI,자료요약,오류교정요청,3,4,수용,3.8,검토중,예습
2026-06-11,S30303,서준미,과학,학습분석대시보드,개념질문,역할부여형,2,3,수용,2.5,검토완료,예습
2026-06-11,S30318,오진율,과학,지능형튜터링시스템,개념질문,역할부여형,7,10,수용,3.4,미검토,예습
2026-06-11,S30320,조선우,과학,학습분석대시보드,오답분석,열린질문,2,3,부분수용,4.2,검토완료,자기주도탐구
2026-06-12,S30305,송연희,과학,음성인식평가도구,번역,단계적추론요청,4,10,수용,2.8,검토완료,과제수행
2026-06-12,S30308,안하연,과학,음성인식평가도구,오답분석,단계적추론요청,2,3,부분수용,4.8,검토중,수업중
2026-06-12,S30311,강하수,과학,코드보조도구,피드백요청,단계적추론요청,8,16,부분수용,1,검토중,복습
2026-06-12,S30322,허주현,과학,이미지생성AI,피드백요청,단답형,4,6,부분수용,2.9,검토중,예습
2026-06-13,S30305,송연희,과학,챗봇형AI,피드백요청,예시요청,2,9,수용,3.3,미검토,복습
2026-06-13,S30306,강하은,과학,이미지생성AI,아이디어생성,단답형,6,13,수용,3.5,미검토,자기주도탐구
2026-06-13,S30310,허혜율,과학,챗봇형AI,문제풀이지원,오류교정요청,6,12,수용,4.1,검토중,복습
2026-06-13,S30311,강하수,과학,챗봇형AI,오답분석,역할부여형,7,15,부분수용,3.5,검토완료,예습
2026-06-13,S30311,강하수,과학,음성인식평가도구,피드백요청,단계적추론요청,6,10,수용,1.6,미검토,과제수행
2026-06-13,S30311,강하수,과학,학습분석대시보드,번역,단답형,7,13,수용,3.2,검토중,과제수행
2026-06-13,S30318,오진율,과학,학습분석대시보드,자료요약,단답형,6,9,수용,2.6,검토중,과제수행
2026-06-14,S30305,송연희,과학,음성인식평가도구,코드리뷰,오류교정요청,3,8,수용,3.7,검토완료,복습
2026-06-14,S30307,김성희,과학,코드보조도구,문제풀이지원,오류교정요청,4,6,수용,5,검토완료,수업중
2026-06-14,S30310,허혜율,과학,학습분석대시보드,코드리뷰,열린질문,1,3,수용,2.3,검토완료,수업중
2026-06-14,S30316,서시은,과학,이미지생성AI,아이디어생성,예시요청,1,4,수용,3.8,미검토,예습
2026-06-14,S30319,남유원,과학,챗봇형AI,자료요약,단계적추론요청,2,6,부분수용,2.7,미검토,예습
2026-06-15,S30307,김성희,과학,지능형튜터링시스템,피드백요청,단계적추론요청,6,10,부분수용,3.8,미검토,자기주도탐구
2026-06-15,S30311,강하수,과학,지능형튜터링시스템,아이디어생성,예시요청,2,6,수용,2.5,검토완료,예습
2026-06-15,S30326,유진민,과학,이미지생성AI,아이디어생성,예시요청,8,16,수용,2.8,검토중,복습
2026-06-16,S30302,강도민,과학,코드보조도구,아이디어생성,예시요청,3,7,수용,2.6,검토중,과제수행
2026-06-16,S30309,안지경,과학,챗봇형AI,자료요약,역할부여형,8,14,부분수용,2.4,검토중,자기주도탐구
2026-06-16,S30316,서시은,과학,이미지생성AI,코드리뷰,열린질문,6,14,수용,4.3,미검토,수업중
2026-06-16,S30320,조선우,과학,지능형튜터링시스템,코드리뷰,단계적추론요청,5,9,수용,2.1,미검토,예습
2026-06-16,S30321,유선희,과학,챗봇형AI,코드리뷰,단계적추론요청,6,13,수용,4.7,검토완료,자기주도탐구
2026-06-16,S30322,허주현,과학,이미지생성AI,번역,단계적추론요청,2,4,부분수용,2.8,검토중,과제수행
2026-06-16,S30326,유진민,과학,음성인식평가도구,개념질문,역할부여형,6,13,수용,3.7,검토중,예습
2026-06-17,S30326,유진민,과학,챗봇형AI,문제풀이지원,열린질문,8,13,수용,3.1,검토완료,과제수행
2026-06-18,S30315,박시호,과학,지능형튜터링시스템,피드백요청,오류교정요청,5,12,수용,4.7,검토완료,예습
2026-06-18,S30320,조선우,과학,학습분석대시보드,문제풀이지원,열린질문,7,14,수용,2.4,검토중,과제수행
2026-06-18,S30321,유선희,과학,이미지생성AI,자료요약,단계적추론요청,4,6,수용,2.9,검토중,과제수행
2026-06-19,S30319,남유원,과학,지능형튜터링시스템,번역,단계적추론요청,8,12,수용,4.4,미검토,과제수행
2026-06-19,S30320,조선우,과학,학습분석대시보드,아이디어생성,역할부여형,7,13,수용,2.8,검토완료,과제수행
2026-06-19,S30322,허주현,과학,학습분석대시보드,자료요약,단계적추론요청,3,4,수용,3.6,검토완료,자기주도탐구
2026-06-20,S30311,강하수,과학,코드보조도구,개념질문,단답형,1,2,수용,2.8,검토완료,과제수행
2026-06-20,S30316,서시은,과학,지능형튜터링시스템,아이디어생성,오류교정요청,3,5,수용,4.6,검토중,자기주도탐구
2026-06-20,S30322,허주현,과학,지능형튜터링시스템,문제풀이지원,단계적추론요청,1,4,부분수용,3.4,검토완료,수업중
2026-06-20,S30325,양혁율,과학,음성인식평가도구,자료요약,열린질문,5,12,부분수용,2.1,검토완료,예습
2026-06-21,S30309,안지경,과학,음성인식평가도구,자료요약,역할부여형,7,14,수용,4.7,검토중,수업중
2026-06-21,S30311,강하수,과학,이미지생성AI,아이디어생성,열린질문,4,12,수용,2.2,검토완료,예습
2026-06-21,S30313,신하윤,과학,코드보조도구,자료요약,열린질문,7,16,수용,4.4,검토중,과제수행
2026-06-21,S30313,신하윤,과학,이미지생성AI,코드리뷰,단계적추론요청,4,6,수용,3.5,검토중,수업중
2026-06-21,S30318,오진율,과학,코드보조도구,개념질문,역할부여형,1,1,수용,3.3,미검토,과제수행
2026-06-21,S30319,남유원,과학,음성인식평가도구,피드백요청,단계적추론요청,7,17,수용,2.6,검토중,자기주도탐구
2026-06-21,S30321,유선희,과학,음성인식평가도구,오답분석,단계적추론요청,5,13,수용,5,검토중,복습
2026-06-21,S30325,양혁율,과학,이미지생성AI,코드리뷰,열린질문,1,1,수용,4.3,미검토,과제수행
2026-06-22,S30302,강도민,과학,지능형튜터링시스템,문제풀이지원,오류교정요청,4,8,부분수용,3.3,미검토,수업중
2026-06-22,S30308,안하연,과학,이미지생성AI,번역,단계적추론요청,2,5,수용,3.4,미검토,복습
2026-06-22,S30310,허혜율,과학,코드보조도구,피드백요청,단계적추론요청,2,2,수용,2.7,검토중,자기주도탐구
2026-06-22,S30318,오진율,과학,이미지생성AI,피드백요청,역할부여형,4,6,수용,3.1,검토완료,과제수행
2026-06-22,S30324,배서경,과학,음성인식평가도구,아이디어생성,오류교정요청,7,16,수용,2.8,검토중,수업중
2026-06-22,S30324,배서경,과학,이미지생성AI,번역,역할부여형,6,11,수용,3.1,미검토,과제수행
2026-06-23,S30306,강하은,과학,지능형튜터링시스템,피드백요청,역할부여형,4,9,수용,3.4,검토완료,자기주도탐구
2026-06-23,S30310,허혜율,과학,지능형튜터링시스템,코드리뷰,예시요청,4,9,수용,2.3,미검토,복습
2026-06-23,S30317,손은호,과학,음성인식평가도구,개념질문,역할부여형,2,4,수용,3,검토중,예습
2026-06-23,S30322,허주현,과학,학습분석대시보드,문제풀이지원,예시요청,7,12,수용,3,검토중,복습
2026-06-24,S30321,유선희,과학,챗봇형AI,코드리뷰,역할부여형,5,10,수용,3.4,미검토,수업중
2026-06-24,S30324,배서경,과학,이미지생성AI,아이디어생성,예시요청,4,9,수용,1.5,검토중,과제수행
2026-06-24,S30325,양혁율,과학,음성인식평가도구,번역,단계적추론요청,3,10,부분수용,2,검토완료,과제수행
2026-06-25,S30301,신도미,과학,지능형튜터링시스템,코드리뷰,오류교정요청,2,4,부분수용,2.5,검토완료,예습
2026-06-25,S30303,서준미,과학,지능형튜터링시스템,번역,열린질문,5,6,부분수용,3.8,검토완료,자기주도탐구
2026-06-25,S30306,강하은,과학,음성인식평가도구,개념질문,단계적추론요청,1,1,수용,2.2,검토완료,과제수행
2026-06-25,S30317,손은호,과학,챗봇형AI,문제풀이지원,단계적추론요청,4,9,수용,2.1,검토완료,수업중
2026-06-25,S30320,조선우,과학,학습분석대시보드,자료요약,열린질문,8,21,부분수용,3.9,검토중,예습
2026-06-25,S30326,유진민,과학,지능형튜터링시스템,문제풀이지원,열린질문,5,11,수용,4.1,검토완료,수업중
2026-06-26,S30304,전시준,과학,코드보조도구,개념질문,단답형,6,15,수용,3.2,검토중,과제수행
2026-06-26,S30314,장진지,과학,음성인식평가도구,아이디어생성,역할부여형,6,14,수용,5,검토중,수업중
2026-06-26,S30323,오진은,과학,지능형튜터링시스템,코드리뷰,열린질문,5,11,수용,3.3,검토완료,과제수행
2026-06-26,S30325,양혁율,과학,챗봇형AI,개념질문,열린질문,7,16,부분수용,1.6,검토완료,과제수행
2026-06-27,S30314,장진지,과학,이미지생성AI,번역,오류교정요청,7,18,수용,3.4,검토중,복습
2026-06-27,S30316,서시은,과학,챗봇형AI,아이디어생성,역할부여형,6,7,수용,4.6,미검토,복습
2026-06-27,S30319,남유원,과학,코드보조도구,문제풀이지원,단계적추론요청,6,9,수용,2.3,검토완료,수업중
2026-06-27,S30319,남유원,과학,음성인식평가도구,코드리뷰,단답형,2,3,부분수용,4.3,미검토,예습
2026-06-28,S30302,강도민,과학,챗봇형AI,자료요약,단답형,8,15,수용,3.5,검토완료,과제수행
2026-06-28,S30312,유선민,과학,학습분석대시보드,자료요약,예시요청,4,6,수용,2.2,검토중,예습
2026-06-28,S30326,유진민,과학,이미지생성AI,아이디어생성,오류교정요청,7,14,수용,4.2,검토중,자기주도탐구
2026-06-29,S30308,안하연,과학,코드보조도구,개념질문,단계적추론요청,6,10,부분수용,3.3,검토중,복습
2026-06-29,S30314,장진지,과학,지능형튜터링시스템,자료요약,단답형,5,10,수용,2.9,검토완료,예습
2026-06-29,S30316,서시은,과학,챗봇형AI,번역,오류교정요청,5,9,수용,3.4,미검토,과제수행
2026-06-29,S30318,오진율,과학,이미지생성AI,피드백요청,역할부여형,5,10,수용,3.3,미검토,복습
2026-06-29,S30319,남유원,과학,음성인식평가도구,아이디어생성,단답형,7,17,수용,2.2,미검토,자기주도탐구
2026-06-29,S30319,남유원,과학,음성인식평가도구,아이디어생성,역할부여형,4,8,부분수용,2.8,미검토,자기주도탐구
2026-06-29,S30319,남유원,과학,지능형튜터링시스템,아이디어생성,단답형,6,11,수용,1.7,검토완료,과제수행
2026-06-29,S30321,유선희,과학,코드보조도구,문제풀이지원,열린질문,2,1,수용,3.7,검토완료,예습
2026-06-29,S30321,유선희,과학,지능형튜터링시스템,오답분석,예시요청,5,10,수용,4.4,검토중,자기주도탐구
2026-06-30,S30309,안지경,과학,지능형튜터링시스템,오답분석,예시요청,8,13,수용,3.4,검토중,과제수행
2026-06-30,S30316,서시은,과학,챗봇형AI,자료요약,열린질문,3,5,수용,1.8,검토중,수업중
2026-06-30,S30322,허주현,과학,지능형튜터링시스템,피드백요청,역할부여형,7,11,수용,3.1,검토완료,자기주도탐구
2026-07-01,S30304,전시준,과학,이미지생성AI,자료요약,단답형,1,3,부분수용,2.6,미검토,수업중
2026-07-01,S30306,강하은,과학,이미지생성AI,자료요약,단계적추론요청,4,10,부분수용,4,미검토,수업중
2026-07-01,S30312,유선민,과학,음성인식평가도구,번역,단답형,2,8,수용,2.6,검토중,수업중
2026-07-01,S30314,장진지,과학,챗봇형AI,문제풀이지원,역할부여형,1,1,수용,4.2,검토중,예습
2026-07-01,S30318,오진율,과학,이미지생성AI,문제풀이지원,예시요청,3,5,수용,3.4,검토완료,예습
2026-07-01,S30319,남유원,과학,챗봇형AI,아이디어생성,예시요청,6,12,부분수용,4.1,검토중,자기주도탐구
2026-07-01,S30324,배서경,과학,챗봇형AI,번역,오류교정요청,5,10,부분수용,1.8,미검토,복습
2026-07-01,S30324,배서경,과학,지능형튜터링시스템,오답분석,오류교정요청,6,12,수용,2.3,검토중,수업중
2026-07-02,S30301,신도미,과학,챗봇형AI,개념질문,오류교정요청,1,1,부분수용,4,미검토,예습
2026-07-02,S30303,서준미,과학,챗봇형AI,자료요약,역할부여형,4,6,수용,3.8,검토완료,수업중
2026-07-02,S30312,유선민,과학,학습분석대시보드,아이디어생성,예시요청,7,14,수용,1.7,검토완료,예습
2026-07-02,S30313,신하윤,과학,코드보조도구,아이디어생성,역할부여형,2,2,수용,5,검토완료,자기주도탐구
2026-07-02,S30315,박시호,과학,학습분석대시보드,번역,단답형,3,7,수용,4.1,검토중,복습
2026-07-02,S30326,유진민,과학,음성인식평가도구,아이디어생성,열린질문,4,10,수용,2.3,검토완료,수업중
2026-07-03,S30304,전시준,과학,챗봇형AI,자료요약,열린질문,7,14,수용,2.4,검토중,예습
2026-07-03,S30308,안하연,과학,코드보조도구,코드리뷰,단계적추론요청,5,13,수용,4,미검토,예습
2026-07-03,S30310,허혜율,과학,이미지생성AI,코드리뷰,단계적추론요청,8,13,수용,2.5,검토중,수업중
2026-07-03,S30319,남유원,과학,지능형튜터링시스템,아이디어생성,단답형,7,16,수용,2.8,검토완료,예습
2026-07-03,S30322,허주현,과학,음성인식평가도구,문제풀이지원,예시요청,4,9,부분수용,3.5,검토완료,수업중
2026-07-03,S30325,양혁율,과학,챗봇형AI,문제풀이지원,오류교정요청,3,8,부분수용,2.3,검토중,과제수행
2026-07-04,S30304,전시준,과학,지능형튜터링시스템,오답분석,열린질문,8,14,수용,2.3,검토완료,자기주도탐구
2026-07-04,S30307,김성희,과학,지능형튜터링시스템,아이디어생성,역할부여형,5,12,수용,2.8,미검토,과제수행
2026-07-04,S30308,안하연,과학,음성인식평가도구,코드리뷰,열린질문,7,22,수용,3.6,검토완료,복습
2026-07-04,S30308,안하연,과학,챗봇형AI,번역,역할부여형,2,3,부분수용,3.9,검토완료,과제수행
2026-07-04,S30311,강하수,과학,챗봇형AI,오답분석,열린질문,8,17,수용,3.4,검토완료,복습
2026-07-04,S30312,유선민,과학,챗봇형AI,문제풀이지원,열린질문,7,13,부분수용,4.6,미검토,수업중
2026-07-04,S30315,박시호,과학,지능형튜터링시스템,아이디어생성,오류교정요청,7,13,수용,4.2,검토완료,예습
2026-07-04,S30319,남유원,과학,이미지생성AI,번역,역할부여형,1,3,수용,1.4,검토완료,수업중
2026-07-04,S30321,유선희,과학,챗봇형AI,문제풀이지원,예시요청,6,14,부분수용,3.9,검토중,자기주도탐구
2026-07-04,S30326,유진민,과학,음성인식평가도구,아이디어생성,역할부여형,2,5,수용,2.6,미검토,자기주도탐구
2026-07-05,S30305,송연희,과학,이미지생성AI,코드리뷰,오류교정요청,4,6,수용,2.9,미검토,과제수행
2026-07-05,S30307,김성희,과학,지능형튜터링시스템,오답분석,단답형,7,12,수용,2.6,검토완료,복습
2026-07-05,S30309,안지경,과학,학습분석대시보드,자료요약,단계적추론요청,7,15,수용,3.1,검토중,과제수행
2026-07-05,S30311,강하수,과학,이미지생성AI,코드리뷰,열린질문,3,4,수용,3.7,검토중,과제수행
2026-07-05,S30313,신하윤,과학,코드보조도구,개념질문,예시요청,1,3,수용,3.4,미검토,예습
2026-07-05,S30315,박시호,과학,지능형튜터링시스템,문제풀이지원,단계적추론요청,5,14,수용,5,검토완료,수업중
2026-07-05,S30316,서시은,과학,코드보조도구,번역,열린질문,6,13,부분수용,3.4,미검토,자기주도탐구
2026-07-05,S30322,허주현,과학,코드보조도구,피드백요청,오류교정요청,6,8,수용,4.9,검토중,과제수행
2026-07-06,S30302,강도민,과학,학습분석대시보드,자료요약,단계적추론요청,5,11,수용,2.2,미검토,예습
2026-07-06,S30304,전시준,과학,코드보조도구,자료요약,예시요청,6,14,부분수용,1.6,검토중,과제수행
2026-07-06,S30309,안지경,과학,학습분석대시보드,피드백요청,예시요청,5,12,수용,2.9,미검토,과제수행
2026-07-06,S30311,강하수,과학,학습분석대시보드,오답분석,역할부여형,2,6,부분수용,3.1,검토중,수업중
2026-07-06,S30318,오진율,과학,챗봇형AI,코드리뷰,단답형,6,13,수용,2.8,미검토,자기주도탐구
2026-07-07,S30307,김성희,과학,지능형튜터링시스템,아이디어생성,오류교정요청,3,8,수용,2.9,미검토,수업중
